,,明治16
,収入,
,県庁より下付受込,"3,308.050"
,寄付金,49.600
,翳16年度教育費残より受込,157.112
,合計,"3,514.762"
,支出,
,地平均費等,229.500
,校舎建築費,"2,419.888"
,諸器械新調費,175.612
,合計,"2,825.000"
,差引,689.762
