,総　　　　　数,,,家　　庭　　用,,商　　業　　用,,工　業　用,,公　　　用,,医　療　用,,不　使　用,,
34.0,"11,854","7,291","6,879","9,985","3,084","1,127","1,960",45,944,65,250,224,641,558,●凖●,
35.0,"12,403","7,987","7,394","10,550","3,203","1,124","2,284",44,925,91,305,244,677,504,●●●,
36.0,"12,956","9,012","8,139","10,987","3,378","1,156","2,716",43,"1,068",96,321,252,656,575,■●●,
37.0,"13,527","9,540","8,852","11,536","3,869","1,205","3,027",39,901,112,345,263,710,525,●●●,
38.0,"14,196","11,010","9,557","12,179","4,169","1,187","3,236",26,"1,030",89,385,220,736,494,●●●,
39.0,"14,681","11,422","10,717","12,596","4,820","1,223","3,607",27,968,95,488,215,835,525,●●●,
40.0,"15,373","12,830","11,883","13,275","5,469","1,270","4,058",25,827,102,564,220,964,481,●●●,
41.0,"16,259","14,104","13,200","14,102","6,177","1,268","4,553",24,787,96,672,227,"1,012",542,●●●,
42.0,"17,732","15,310","14,288","15,428","6,799","1,347","4,897",21,825,104,710,236,"1,057",596,●●●,
43.0,"18,883","16,887","16,140","16,014","7,564","1,423","5,747",21,633,104,793,237,"1,093",874,●●●,
44.0,"20,841","17,346","17,003","17,968","7,745","1,579","6,804",20,635,106,712,298,"1,107",870,●■●,
45.0,"22,415","15,236","14,824","19,145","6,894","1,665","6,009",21,301,122,619,300,"1,002","1,162",●●●,
46.0,"25,051","17,236","16,682","21,633","8,066","1,878","6,635",31,244,134,735,248,"1,003","1,127",●●●,
47.0,"27,839","18,999","18,514","24,294","9,370","2,053","7,155",37,186,167,793,294,"1,013",994,●●●,
48.0,"31,749","20,853","20,765","27,930","10,955","2,251","7,712",42,236,184,840,294,"1,023","1,048",●●●,
49.0,"35,713","22,297","23,236","30,654","13,351","2,188","7,703",28,240,149,881,251,"1,061","2,443",●●●,
50.0,"37,274","24,576","24,884","32,212","14,638","2,256","8,045",26,200,170,897,256,"1,104","2,354",●●●,
51.0,"38,687",●●●,"26,784","33,545","15,397","2,392","9,022",27,187,188,"1,013",256,"1,165","2,279",僵●●,
52.0,"40,131",,"27,295","34,778","15,590","2,536","9,310",26,176,198,"1,016",265,"1,203","2,328",●●●,
53.0,"41,921",●●●,"27,814","36,147","15,745","2,671","9,684",17,216,2H,"1,008",265,"1,161","2,610",Ｓ■恤,
54.0,"43,968",●●●,"28,863","37,296","16,637","2,827","9,860",17,221,219,"1,034",266,"1,111","3,343",●■●,
55.0,"45,565",●●●,"29,652","38,440","16,886","3,087","10,369",18,223,229,"1,090",269,"1,084","3,522",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
